city,X,Y
"Adana",-24,-77
"Adıyaman",105,-60
"Afyon",-260,5
"Ağrı",365,75
"Amasya",-15,130
"Ankara",-170,62
"Antalya",-257,-105
"Artvin",290,170
"Aydın",-400,-52
"Balıkesir",-415,70
"Bilecik",-292,90
"Bingöl",242,25
"Bitlis",330,-5
"Bolu",-207,115
"Burdur",-298,-80
"Bursa",-350,100
"Çanakkale",-475,95
"Çankırı",-128,128
"Çorum",-65,120
"Denizli",-340,-55
"Diyarbakır",210,-30
"Edirne",-460,175
"Elazığ",180,-5
"Erzincan",165,73
"Erzurum",270,100
"Eskişehir",-255,60
"Gaziantep",60,-105
"Giresun",120,130
"Gümüşhane",140,105
"Hakkari",415,-55
"Hatay",22,-152
"Isparta",-257,-55
"Mersin",-110,-130
"İstanbul",-350,160
"İzmir",-430,-22
"Kars",360,130
"Kastamonu",-135,173
"Kayseri",-7,-7
"Kırklareli",-425,200
"Kırşehir",-100,35
"Kocaeli",-310,145
"Konya",-175,-50
"Kütahya",-330,37
"Malatya",100,-10
"Manisa",-400,10
"Kahraman Maraş",10,-47
"Mardin",255,-80
"Muğla",-400,-90
"Muş",303,30
"Nevşehir",-75,0
"Niğde",-55,-55
"Ordu",77,140
"Rize",250,160
"Sakarya",-280,130
"Samsun",0,160
"Siirt",325,-30
"Sinop",-48,184
"Sivas",65,50
"Tekirdağ",-435,160
"Tokat",30,105
"Trabzon",180,145
"Tunceli",170,35
"Şanlıurfa",150,-100
"Uşak",-333,-7
"Van",410,0
"Yozgat",-35,55
"Zonguldak",-235,165
"Aksaray",-118,-25
"Bayburt",210,120
"Karaman",-140,-100
"Kırıkkale",-120,73
"Batman",275,-47
"Şırnak",342,-63
"Bartın",-175,185
"Ardahan",335,180
"Iğdır",412,102
"Yalova",-335,128
"Karabük",-175,150
"Kilis",80,-125
"Osmaniye",10,-90
"Düzce",-235,140
